id,concept,layer,source_doc,code_path,status,tier,wave,blocks,gate,note
G-01,"Envelope schema (may_authorize, applied, redaction_applied, evidence_refs, sequence, parent_event_id)",nervous-system,TYPED-EVENTS-RUN-ID-EXECUTION-PLAN-2026-08-12,none,concept-only,T0,W1,"G-02,G-03,G-04,B-01..B-06",none,the missing core↔edge boundary; every board integration without it is bespoke
G-02,"run_id minting (approval, proposal_hash, policy_version, state_version)",nervous-system,TYPED-EVENTS plan,none,concept-only,T0,W1,"G-03,G-04",none,without run_id there is no causal spine to correlate board events with core decisions
G-03,"Run Store, append-only, sequence + idempotency on event_id",nervous-system,TYPED-EVENTS plan,none,concept-only,T0,W1,"G-04,G-09",none,directly mitigates H1: idempotency key is the structural fix
G-04,RUN_CREATED / RUN_COMPLETED lifecycle events,nervous-system,TYPED-EVENTS plan,none,concept-only,T0,W1,G-09,none,
G-05,H1 idempotency fix: payload fingerprint on POST /proposals,control-plane,deep-scan aspect 1,partial,defect-open,T0,W1,B-01..B-06,none,one verdict can produce N executions and N budget withdrawals; adding boards multiplies it
G-06,"Truth Layer six states: UNVERIFIED, REPORTED, VERIFIED, CONFLICT, STALE, REJECTED",epistemics,TYPED-EVENTS plan,none,concept-only,T1,W2,"G-07,M-04",none,the vault already uses these labels informally; no code enforces them
G-07,EXECUTION_RECEIPT separating proposal from execution,control-plane,TYPED-EVENTS plan,none,concept-only,T1,W2,B-05,none,the artifact an external judge is allowed to see
G-08,"Context Bundle contract (required fields, types, size cap)",cognition,checklist item 143,none,concept-only,T1,W2,M-02,none,item 143 open
G-09,Context Engine,cognition,TYPED-EVENTS plan,none,concept-only,T1,W3,,none,
G-10,Control Events,nervous-system,TYPED-EVENTS plan,none,concept-only,T1,W3,,none,
G-11,Observability layer over typed events,nervous-system,TYPED-EVENTS plan,partial,concept-only,T1,W3,,none,"Prometheus/Grafana exist for hosts, not for runs"
G-12,Migration path from untyped to typed events,nervous-system,TYPED-EVENTS plan,none,concept-only,T1,W3,,none,
G-13,Epistemic TCB: claim → plan → eligible → run → receipt,epistemics,deep-scan aspect 1,none,concept-only,T1,W2,G-07,none,
G-14,INV-1..12 for NBB-CP integer-cents money invariants,money,deep-scan aspect 1,partial,partial,T1,W2,,none,integer cents present; the twelve invariants are not asserted as a suite
G-15,"Shadow mode (run without effect, compare against live)",control-plane,deep-scan aspect 1,none,concept-only,T1,W3,,none,prerequisite for ever opening NBB-V4 safely
M-01,Eval harness with hash-locked held-out set,measurement,checklist item 148,none,concept-only,T2,W2,M-03,none,no capability can exceed E3 without this
M-02,Golden trace replay,measurement,checklist item 152,none,concept-only,T2,W3,,none,depends on G-01 Envelope
M-03,"Scaffold-variation measurement, five forms",measurement,checklist item 156,none,concept-only,T2,W3,,none,the deepest gap in the whole project
M-04,"Ledger as graph, not linear",measurement,checklist item 157,none,concept-only,T2,W3,,none,compositional capability is unextractable from a linear ledger
M-05,"External judge, artifacts-only, outside producer context",measurement,checklist item 158,none,concept-only,T2,W2,"M-01,M-03",none,closed epistemic loop until built
M-06,"P3 metric repair with metric_version, old metric retained",measurement,checklist item 68,none,defect-open,T2,W1,"M-01,M-03",none,a broken scale; nothing measured with it is trustworthy
M-07,Tool-chain probe for undesigned tool combinations,measurement,checklist item 149,none,concept-only,T2,W3,,none,
M-08,Log mining over existing decision paths,measurement,checklist item 150,none,concept-only,T2,W1,,none,"zero-cost, read-only, can start immediately"
M-09,"Fault injection: kill Redis mid-run, budget cap, Fugu timeout",measurement,checklist items 144-146,none,concept-only,T2,W3,,none,'fail-closed everywhere' is an architectural claim until this runs
