component,path,halt_refs,global_halt_checked,scoped_stop_checked,checks_before_external_effect,watchdog_yields,status,evidence
opslib (oracle),_ops/budget/opslib.py,16,YES,YES,N/A,N/A,FACT,"master_halted() = single oracle (HALT-ALL ← architect STOP); halted() back-compat"
chrono effect gate,_ops/chrono.py,-,YES,YES,YES,N/A,FACT,"settle() calls force_closed() first (fail-closed); refuses under STOP/FREEZE/halt"
watchdog,_ops/watchdog.py,1,YES,YES,N/A,YES,FACT-after-fix,"STOP_FLAGS now = [HALT_ALL, opslib.STOP_ARCHITECT, STOP_ORGANISM] (BLOCKER-3); should_revive yields on any"
organism,_ops/organism.py,3,LIKELY,PARTIAL,OPEN,N/A,OPEN,"3 halt-refs present; per-loop + before-external-effect placement not yet verified line-by-line"
telegram_center,_ops/telegram_center/center.py,4,LIKELY,YES,OPEN,N/A,OPEN,"center.stopped() honors global boundary + STOP-ORGANISM (per test_master_halt); external-send gating needs verify"
ps_writeback (money),_ops/legs/ps_writeback.py,3,LIKELY,YES,OPEN,N/A,OPEN,"armed money path; 3 halt-refs; must confirm halt checked immediately before each writeback"
outbound_worker,_ops/legs/outbound_worker.py,0,NO,NO,relies-on-stub,N/A,RISK,"0 halt refs; safety today = NOT_ARMED stub + LEAD_OUTBOUND off, NOT a halt check — add explicit halt gate before arming"
live/server,_ops/live/server.py,1,PARTIAL,OPEN,OPEN,N/A,OPEN,"1 halt-ref; control-plane endpoints vs halt need audit"
dashboard/server,_ops/dashboard/server.py,5,LIKELY,YES,N/A,N/A,OPEN,"5 halt-refs incl STOP_ARCHITECT; _do_restart refusal under halt needs confirm"
cortex,path-unknown,?,OPEN,OPEN,OPEN,N/A,OPEN,"not tracked at _ops/cortex.py — locate real path, then audit"
mission_runner,path-unknown,?,OPEN,OPEN,OPEN,N/A,OPEN,"not tracked at _ops/mission_runner.py — armed (RUNNER_APPLY/APPLY_MERGE); locate + audit"
organism-watchdog.ps1,04 - Architect System/scripts/organism-watchdog.ps1,-,OPEN,OPEN,N/A,OPEN,"delegates to should_revive logic per docstring; PS1 STOP-set parity with opslib not yet proven"
RUN-*.bat launchers,_ops/RUN-*.bat,-,OPEN,OPEN,N/A,OPEN,"boot-time halt check + no boot-and-exit churn under halt not yet proven"
model_router / provider clients,path-unknown,?,OPEN,OPEN,OPEN,N/A,OPEN,"must confirm no model call issued under halt — not yet audited"
web_research / mining / consolidation / evolution jobs,various,?,OPEN,OPEN,OPEN,N/A,OPEN,"not yet audited for halt-before-start"
