claim_id,claim,c_level,verdict,primary_metric,primary_value,evidence_tag,source,spec,seed_family,caveats
ADR-001,Information Bottleneck as inductive bias (H-OWN-03) + real-experiment wiring pattern,C0,REJECTED,transfer_accuracy,0.520,FACT,adr/ADR-001-wm-bottleneck-real-harness.md,specs/wm_abstraction.yaml,991000–991004,"C0-level tabular agents in this grid-world family. It licenses NO claim about LLM-based kernels (C4) — per the project's discipline, a functional result is never lifted to a stronger claim."
ADR-002,Monte-Carlo Drake census over seeded universes,C0,OPTIMIZE,f_transfer,0.600,FACT,adr/ADR-002-drake-census-pattern.md,specs/drake_kernels.yaml,997000+,"emergence of transferable abstraction under a WM bottleneck is frequent but not robust across universes — the dominant failure mode is gating instability (universe 5 collapsed to 0.26; three near-misses at 0.38–0.49), t…"
ADR-003,Geometric layer for the Cognitive Kernel (abstraction quality space),C0,OPTIMIZE,geo_transfer_rho,0.662,FACT,adr/ADR-003-geometric-layer.md,specs/geometry_abstraction.yaml,993000–993004,"geometry is a strong but incomplete account — the residual (ρ well short of 1) is where non-geometric transfer mechanisms (learning dynamics, exploration) live, exactly the tradeoff the spec declared. Follow-up to lift…"
ADR-004,Relative-threshold preregistration for capacity manipulations,C0,OPTIMIZE,transfer_gain,0.169,FACT,adr/ADR-004-relative-threshold-preregistration.md,specs/wm_abstraction_v2.yaml,994000+,"the WM-bottleneck relative advantage is real at the point estimate, modest, and universe-dependent (std 0.093). H-OWN-03's mechanism survives correct (relative) preregistration as OPTIMIZE where the absolute framing (v1…"
ADR-005,Homeostatic self-model (allostasis) vs reactive control,C3,OPTIMIZE,advantage_ood,0.029,FACT,adr/ADR-005-homeostasis-allostasis.md,specs/homeostasis.yaml,996000+,"the machine verdict gates ONLY on advantage_ood; the OOD-specificity (premium > 0) is a reported secondary observation, NOT a gated claim — the verdict would be identical with a zero premium. So this run establishes ""th…"
ADR-006,Consolidation as library learning vs raw replay,C0/C1,INTEGRATE,schema_minus_replay,0.045,FACT,adr/ADR-006-consolidation-library-learning.md,specs/consolidation.yaml,998000+,"schema_vs_replay's std (0.051) is larger than its mean — raw_replay is itself noisy (helps some universes, hurts others), so the primary estimate is ~2 SE above zero, not tight. The robust claim is schema > base; schema…"
ADR-007,Owner's Central Law as the governance layer (science ≠ bent by revenue),C0,accepted,unknown,unknown,unknown,adr/ADR-007-central-law-governance.md,unknown,unknown,governance; not an experiment — no machine verdict applies
ADR-008,Hybrid cortex organ: the kernel learns the body and decides to attach,C0–C3,OPTIMIZE,bottleneck_advantage,0.036,FACT,adr/ADR-008-hybrid-cortex-organism-attach.md,specs/hybrid_organism.yaml,5 temporal cuts,"observational SINGLE-SNAPSHOT study — the body's DB is frozen since 2026-07-11, so the 5 temporal cuts are correlated, not independent replications. Verdict scoped to ""this snapshot of the body's history""; true replicat…"
ADR-009,Social Mirror: a self/other model that transfers only when the goal is defined by the other,C0,INTEGRATE,social_specific_advantage,0.398,FACT,adr/ADR-009-social-mirror.md,specs/social_mirror.yaml,980000+,"C0 tabular, single grid-world family, fixed keyings (not a learned selector). Verdict is scoped to ""this environment family""; the claim is functional transfer, never phenomenal self-awareness."
ADR-010,Comparison-driven metacognition: social comparison as a self-calibration signal,C0/C1,INTEGRATE,brier_reduction,+0.019,FACT,adr/ADR-010-comparison-metacog.md,specs/comparison_metacog.yaml,981000+,"a single synthetic IRT family. The 5 confirmatory universes are independent draws (unlike ADR-008's frozen snapshot), but they are simulated, not empirical; the verdict is scoped to ""this generative world."" The correcti…"
ADR-011,Prospective memory: an explicit intention buffer that survives interruptions,C0–C3,INTEGRATE,pm_advantage_highload,0.475,FACT,adr/ADR-011-prospective-memory.md,specs/prospective_memory.yaml,982600+,"The buffer's capacity is never the binding constraint under high load — this is a buffer-vs-no-buffer result, not a capacity-pressure result. The buffer completes 1.0 under heavy load [FACT: confirmatory smoke 982600+],…"
ADR-012,Memory as a resource-rational retention policy (utility-gated write/forget),C0/C1,INTEGRATE,gated_advantage,+0.204,FACT,adr/ADR-012-memory-policy.md,specs/memory_policy.yaml,983000+,The machine gate uses the WEAKEST baseline. gated_advantage scores gated against append_all = random eviction — the easiest baseline to beat. The stronger deterministic control (FIFO / recency) is REPORTED outside the v…
ADR-013,Self-model requires causal access? (H-OWN-07) — an honest negative,C0–C3,REJECTED,causal_advantage,-0.098,FACT,adr/ADR-013-causal-selfmodel.md,specs/causal_selfmodel.yaml,984000,"single grid-world substrate, one fixed K=6 keying, 5 correlated confirmatory seeds; the primary paired statistic's inferential n is 5 seeds (each AUC scored on 150 heldout TEST episodes). Verdict scoped to ""this grid-wo…"
ADR-014,"Regret as a shift-invariant control signal (a defined math signal, NOT an emotion)",C0–C3,INTEGRATE,advantage_ood,0.355,FACT,adr/ADR-014-control-signals.md,specs/control_signals.yaml,985500–985504,"The gate reads RAW advantage_ood, not the strict shift-specific premium. The premium advantage_ood − advantage_indist is the theoretically pure quantity (it nets out any residual regret edge that exists even without a s…"
ADR-015,Adaptive forgetting under distribution drift (EXP-004),C0–C3,OPTIMIZE,adaptive_advantage,0.056,FACT,adr/ADR-015-adaptive-forgetting.md,specs/adaptive_forgetting.yaml,965000,"Primary baseline is the WEAKEST arm. The gate uses adaptive − cumulative (keeps-everything, the weakest). Against the STRONGER pure baseline (FIFO, which forgets old rules by accident), the edge is +0.018, BELOW the 0.0…"
ADR-016,Retrieve-vs-compute scheduler with costs in the objective (EXP-005),C0–C3,INTEGRATE,scheduler_advantage,0.031,FACT,adr/ADR-016-retrieve-vs-compute.md,specs/retrieve_compute.yaml,962500,"Was unwired at build time (its local registry was dead code); the orchestrator added the import + REGISTRY_REAL[""retrieve_compute""] so the canonical python rsc.py run retrieve_compute reproduces the verdict — done. (Bec…"
ADR-017,Goal lifting under ontology shift: U_D = U_C ∘ F̂ (H-GEO-02),C0–C3,INTEGRATE,lifting_advantage,0.190,FACT,adr/ADR-017-ontology-shift.md,specs/ontology_shift.yaml,945000,"prediction.statement reads stronger than the per-universe data. It says no_mapping_reuse <= 0, which holds at the mean (pilot −0.044 ± 0.069, confirmatory −0.055 ± 0.091) but not universe-wise: one pilot universe was +0…"
ADR-018,Multi-metric episodic memory: retrieval beyond semantic similarity (GEOMETRY.md §4),C0–C3,INTEGRATE,retrieval_advantage,0.157,FACT,adr/ADR-018-multimetric-memory.md,specs/multimetric_memory.yaml,942500,"No per-axis ablation of provenance vs outcome. recency_only_gain isolates the time axis, but provenance and outcome are only ever ablated JOINTLY — no provenance-only or outcome-only arm ran, so their individual contrib…"
ADR-019,Attractor memory: noisy retrieval as basin descent (H-GEO-02),C0,INTEGRATE,noisy_retrieval_advantage,+0.612,FACT,adr/ADR-019-attractor-memory.md,specs/attractor_memory.yaml,944500,"The kill line was set at zero, not at a SESOI — failure_condition is noisy_retrieval_advantage <= 0.0, so any tiny positive advantage would survive it. Generous by construction; immaterial here because the effect is lar…"
ADR-020,Skill-gap attribution: gating the increment v1 was named for (H-OWN-02b),C0/C1,OPTIMIZE,delta_gain,+0.005,FACT,adr/ADR-020-comparison-metacog-v2.md,specs/comparison_metacog_v2.yaml,946500,"DISCARD-reachability rationale mixed scales (apples/oranges) — restated. The frozen band-rationale comment argued ""DISCARD is live"" by comparing the pilot per-universe min (+0.0027) to the 0.002 kill line. But the gate…"
