contract_id,producer,consumer,schema_id,schema_fields,transport,serialization,authentication,timeout,retry,idempotency,ordering,persistence,failure_behavior,status,evidence
CR-01,afferent/sensory_bus.SensoryBus.ingest,school_bridge.learn_from,AfferentEvent (dataclass),source;obs_type;topic_ids;ledger_event_type;intensity;afferent;ts,in-process call,Python object,none (in-process),none,none,none (in-memory deque),window deque maxlen=50 (volatile),fail-soft alert,VERIFIED_CODE_ONLY,_ops/afferent/sensory_bus.py:44-52;84-108
CR-02,wiring._observations_from_snapshot,sensory_bus.ingest,Observation (dataclass),source;obs_type;label;intensity;ts,in-process call,Python object,none,none,none,none,none,synthetic labels only (no raw data),fail-soft,VERIFIED_CODE_ONLY,_ops/wiring.py:2675-2705
CR-03,wiring.afferent_beat,school_bridge.learn_from(persist=True),internal report dict,school_report;sensory_status;alarm,flag-gated call OCTOPUS_WIRE_SCHOOL=1,dict,n/a,n/a,n/a,epoch-window anti-alias,beat cadence daily (1440),JSONL via school bridge,kill-switch STOP/halted checked first,VERIFIED_CODE_ONLY,_ops/wiring.py:2708-2747
CR-04,telegram getUpdates,telegram_center.center.run_forever,Telegram update (native),message|callback_query,HTTPS long-poll (poll_updates timeout_s),JSON,owner chat_id allowlist fail-closed (_is_owner),POLL_TIMEOUT_S,exponential backoff capped 60s,offset=update_id+1 exactly-once per poll,update order preserved,_log_disposition journal,silent drop for non-owner,VERIFIED_CODE_ONLY,_ops/telegram_center/center.py:5816-5869;2657-2674
CR-05,telegram_center.intent.classify,center handlers,intent.v1,intent;leg;confidence;danger,in-process call,dict,behind _is_owner gate,n/a,n/a,n/a,n/a,n/a,unknown intent -> help text,VERIFIED_CODE_ONLY,_ops/telegram_center/intent.py:10-17;32;102
CR-06,llm_intent.understand,mission creation (card only),llm-intent.v1,intent;target_leg;action;risk;summary;needs_mission,LLM API behind OCTOPUS_TG_LLM_ASK,JSON,n/a + autonomy_matrix.is_important escalation,n/a,n/a,n/a,n/a,n/a,LLM proposes never executes; importance only RAISES risk,VERIFIED_CODE_ONLY,_ops/telegram_center/llm_intent.py:77;133
CR-07,approval_store.add_pending,telegram callback ap:*:*,approval-job.v1,id;type;title;status;risk;created_at;expires_epoch;requires_confirmation;dry_run_report;action_sha256,LockedJson file lock on _octopus/state/approvals.json,JSON,n/a (owner-gated channel),n/a,n/a,single-use atomic _move pending->approved,n/a,approvals.json persistent,replay returns False,VERIFIED_CODE_ONLY,_ops/telegram_center/approval_store.py:158-247
CR-08,callback_token.mint/verify,center._handle_approval_callback,cb-token.v1,HMAC-SHA256(jid|action|owner_id|action_hash|expires) truncated 9 hex,Telegram callback_data (64B),string,OCTOPUS_CB_SECRET + compare_digest behind OCTOPUS_WIRE_CB_TOKEN,n/a,n/a,expiry epoch checked,n/a,n/a,fail-closed on any mismatch,VERIFIED_CODE_ONLY,_ops/telegram_center/callback_token.py:60-69; center.py:4775-4847
CR-09,budget.approval_state_machine,execution lane,ActionObject dataclass,action_id;action_type;source;amount_aud;requested_at;status;verdict*;rollback_class;dry_run;meta,in-process,dict,n/a,n/a,n/a,suggested->queued->owner_approved->execected validated transitions,approval-log.jsonl append,invalid transition rejected,VERIFIED_CODE_ONLY,_ops/budget/approval_state_machine.py:77;150
CR-10,action producer (goal_action_bridge via unified_control.pipeline),action_bridge.contracts.validate_request,action-request.v1,schema;action_id;prereg_id;source_component;intent;action_type;target;expected_effect;allowed_scope;external_effect;estimated_cost;rollback;falsifier (+metric),in-process call,dict (canonical JSON sort_keys),none - validated fail-closed (13 required fields),n/a,n/a,payload_hash=sha256(signature fields)[:32],n/a,n/a,unknown/missing field => invalid,VERIFIED_CODE_ONLY,_ops/action_bridge/contracts.py:50-114
CR-11,action_bridge.classifier,planner,classification result,classification;reasons;base,in-process pure fn,dict,n/a (structural signals only),n/a,n/a,n/a,n/a,n/a,unknown action_type=>A6; text can only escalate,VERIFIED_CODE_ONLY,_ops/action_bridge/classifier.py:96-189
CR-12,action_bridge.owner_gate,planner step 6,owner-approval.v1,schema;action_id;payload_hash;nonce;expires_at;granted_at;approver;scope;sig,in-process + caller persistence,JSON,HMAC env key OCTOPUS_ACTION_BRIDGE_HMAC fail-closed if absent,24h default TTL,none,nonce single-use + persisted used-nonces.json,n/a,used-nonces.json,any ambiguity => reject,VERIFIED_CODE_ONLY,_ops/action_bridge/owner_gate.py:39-163
CR-13,action_bridge.executor,receipt.finalize,action-receipt.v1,schema;action_id;idempotency_key;status;classification;started_at;finished_at;steps_completed;artifacts;external_effects;cost;before;after;rollback_available;evidence;errors,in-process,dict + receipts_dir JSON + ledger JSONL,scope_guard containment,n/a,atomic write x2 attempts,key=action_id:payload_hash DUPLICATE/CONFLICT,append order,receipts/*.json + action-ledger.jsonl,no receipt => EXECUTED downgraded FAILED,VERIFIED_LIVE (ledger rows 2026-08-16),_ops/action_bridge/contracts.py:179-199; receipt.py:27-87; executor.py:41-99
CR-14,goal_action_bridge.run_for_cycle,missions.jsonl ledger,mission row,schema_version 2;mission_id;intent;action;risk;status;requires_approval;input_refs;output_refs;trace_id;content_sha256;policy_version;created_ts;cycle_id;prereg_id,append + forced FSM transitions,JSONL,n/a,n/a,n/a,mission_id idempotent,append order,state/test_cycle/missions.jsonl,ledger-write-failed => ok=False,VERIFIED_LIVE,_ops/goal_action_bridge.py:154-179; 550-561
CR-15,prereg.for_cycle,goal_action_bridge,prereg.v1,ts;prereg_id;cycle_id;goal;goal_key;method;method_index;hypothesis;metric_path;metric_key;baseline;target;deadline_cycles;allowed_scope;forbidden_actions;expected_evidence,file read (exact row),JSONL,n/a,n/a,n/a,prereg_id exact match,n/a,state/test_cycle/prereg.jsonl,missing-prereg => abort,VERIFIED_LIVE,_ops/state/test_cycle/prereg.jsonl; goal_action_bridge.py:385-393
CR-16,verdict evaluator,verdicts.jsonl,cycle_verdict.v1,ts;prereg_id;cycle_id;evaluated_at_cycle;goal_key;method_index;baseline;value_now;target;verdict;reason;evidence,append-only file,JSONL,n/a,n/a,n/a,cycle_id-keyed,append order,state/test_cycle/verdicts.jsonl,absent metric => None never zero,VERIFIED_LIVE,_ops/state/test_cycle/verdicts.jsonl; goal_action_bridge.py:540-548
CR-17,goal_action_bridge.consolidate_new_verdicts,MemoryGate.submit,memory-candidate,namespace=episodic;source=deterministic;producer;content;task_id,in-process + marker file,dict,n/a,n/a,n/a,cycle_ids marker idempotent,n/a,marker memory-consolidated.json,gate flag-off skips without marker,VERIFIED_CODE_ONLY,_ops/goal_action_bridge.py:565-637
