id,territory,verdict,grade,impact,fixability,rank_IxF,owner_decision_needed,verified_this_session,seeded,anchor_quality,hypothesis
W-026,T1-money-path,CONFIRMED_BLOCKER,E3,4,4,16,False,True,False,resolvable,برای ۳۵ درخواست فقط ۳ فالوآپ ثبت شده — زنجیرهٔ پیگیری عملاً وجود ندارد
W-002,T1-money-path,CONFIRMED_BLOCKER,E3,5,3,15,True,True,False,resolvable,دو کارت MONEY-BATCH واقعی هنوز PENDING هستند و ۹ بستهٔ quote آماده در صف آن‌ها خوابیده
W-006,T1-money-path,CONFIRMED_BLOCKER,E3,5,3,15,False,True,False,resolvable,قیف ۰۹-۱۶T06:15Z به بعد کاملاً خشک شده: ۳۵ درخواست تا آن روز، صفر ارسال در ۰۹-۱۷ و ۰۹-۱۸
W-015,T1-money-path,CONFIRMED_BLOCKER,E2,5,3,15,False,True,False,resolvable,فروشگاه زنده است ولی ۴۸۲ بررسی پیاپی صفر سفارش داشته — تقاضا تولید نمی‌شود، نه اینکه تحویل خراب باشد
W-005,T1-money-path,CONFIRMED_BLOCKER,E3,3,4,12,False,True,False,resolvable,شمارنده‌های قیف چهار عدد ناسازگار می‌دهند: ۹۴ مجاز، ۳ در حالت SENT، ۳۹ ردیف sent-log، ۱۰۳ staged
W-008,T1-money-path,CONFIRMED_BLOCKER,E3,4,3,12,False,True,False,resolvable,هیچ ردیابی bounce/open/reply برای ارسال‌ها وجود ندارد؛ موفقیت کمپین قابل اندازه‌گیری نیست
W-010,T1-money-path,CONFIRMED_BLOCKER,E1,4,3,12,False,False,False,resolvable,مصرف‌کنندهٔ آلارم پاسخ مشتری وجود ندارد؛ پاسخ‌ها تا چرخهٔ ۶ ساعته دیده نمی‌شوند
W-016,T1-money-path,CONFIRMED_BLOCKER,E1,4,3,12,False,False,False,resolvable,CHECKOUT-1: با ۲۵۱+ بررسی، هیچ تشخیصی روی قیف خرید اجرا نشده
W-027,T1-money-path,CONFIRMED_BLOCKER,E3,4,3,12,False,True,False,resolvable,مصرف‌کنندهٔ تصمیم به‌جای dispatch روی تصمیم‌های بی‌تسک می‌چرخد: ۲۰۷۸ تلاش در ۲.۵ روز، ۶۶ بار در ساعت
W-034,T1-money-path,CONFIRMED_BLOCKER,E3,4,3,12,False,True,False,resolvable,تعداد پاسخ‌های واقعی به ۳۵ درخواست فقط ۱ است (~۳٪)؛ پیام‌ها احتمالاً ضعیف یا نامرتبط‌اند
W-S04,T1-money-path,PARTIAL,E1,4,3,12,True,False,True,resolvable,بازوی زیمن با hold_external معلق است؛ نیمی از ظرفیت درآمدی از ارسال بیرونی معاف مانده
W-S07,T1-money-path,CONFIRMED_BLOCKER,E2,4,3,12,False,True,True,resolvable,پاسخ اولین مشتری ~۵.۹ ساعت بی‌جواب مانده — SLA پاسخ وجود ندارد
W-040,T2-demand-market,CONFIRMED_BLOCKER,E2,4,3,12,False,True,False,resolvable,تقاضای ورودی هیچ ابزار اندازه‌گیری ندارد جز شمارندهٔ ارسال — بازخورد بازار صفر است
W-045,T2-demand-market,CONFIRMED_BLOCKER,E3,4,3,12,False,True,False,resolvable,شمارش «authorized_with_contact=94» در برابر «sent=3» یعنی ۹۱ سرنخ مجاز هنوز پیام نگرفته‌اند
W-060,T2-demand-market,PARTIAL,E3,4,3,12,False,True,False,resolvable,۸ روز «نه درآمد» با ۳ روز ارسال شدید نشان می‌دهد پیام‌ها به مشتری واقعی نرسیده‌اند (یا جواب نگرفته) — فرض مخاطب غلط است
W-S02,T2-demand-market,PARTIAL,E1,4,3,12,False,False,True,resolvable,قیف تقاضا دوره‌های طولانی مرده بوده (enrich attempted:0 تکرارشونده)
W-S03,T3-offer-product,CONFIRMED_BLOCKER,E1,4,3,12,False,False,True,resolvable,پیشنهاد (offer) هرگز iterate نشد — نسخهٔ اولیه بدون بازخورد ماند
W-133,T6-learning,CONFIRMED_BLOCKER,E3,4,3,12,False,True,False,resolvable,پایگاه اثر خروجی (outbound-effects) صفر بایت است — هیچ outcome از ارسال‌ها به یادگیری نمی‌رسد
W-134,T6-learning,CONFIRMED_BLOCKER,E2,4,3,12,False,True,False,resolvable,هیچ سیم‌کشی از پاسخ مشتری به ردیف یادگیری وجود ندارد؛ حلقهٔ بازار→یادگیری بسته نیست
W-S09,T7-agent-architecture,CONFIRMED_BLOCKER,E1,4,3,12,False,False,True,resolvable,دانش پراکنده باعث می‌شود هر ایجنت از صفر جهت‌گیری کند؛ هزینهٔ بازکشف در هر نشست ثابت است
W-S12,T9-attention-priority,CONFIRMED_BLOCKER,E1,4,3,12,False,False,True,resolvable,الگوی متاکار-قبل-از-تقاضا واقعاً رخ داده و ORDER-LAW در واکنش به آن نوشته شد
W-001,T1-money-path,CONFIRMED_BLOCKER,E3,5,2,10,True,True,False,resolvable,کارت TRAFFIC-DECISION که تنها قفل واقعی پول نامیده شده، ۴.۸ روز باز مانده است
W-042,T2-demand-market,CONFIRMED_BLOCKER,E1,5,2,10,False,False,False,resolvable,سیزن-لاگ ۸ روز پیاپی «نه درآمد» ثبت کرده — الگوی سیستمی، نه بدشانسی یک روز
W-013,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,پوشهٔ campaign از ۰۹-۱۳ خالی است؛ پشت ارسال‌ها هیچ ساختار کمپینی (هدف/بازه/معیار) نیست
W-017,T1-money-path,PARTIAL,E2,3,3,9,False,True,False,resolvable,چرخهٔ درآمد ۶ ساعته است ولی تایمر quote هر ۳۰ دقیقه می‌زند؛ هر تأیید مالک تا ۶ ساعت در چرخهٔ بعدی می‌افتد
W-022,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,True,True,False,resolvable,۲۹ سرنخ فقط-تلفنی با یادداشت «هیچ خروجی به هیچ شکل» در صف مانده‌اند — کانال تماس خریداری نشده
W-023,T1-money-path,UNVERIFIED,E1,3,3,9,True,False,False,resolvable,~۱۹ سرنخ استراتا که مالک باید تأمین می‌کرد هرگز نیامد — منبع تقاضا نیمه‌خالی
W-025,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,تنها یک آزمایش پیشنهاد (subject-v1) ساخته شده و نتیجه‌اش هیچ‌جا به ارسال‌ها گره نخورده
