id,claim,reality,evidence_refs,tier,severity,resolution_owner
C-01,"Layers L0-L8 exist","No L0-L8 in any doc/module; SoT defines 7 engineering layers (0 Body..6 Interface + S Safety)","A01 exec summary","T2","MEDIUM","A01 maps"
C-02,"Brains are 4d_system and NBB-CP","Live brains: organism loop + cortex process; 4d_system not running; NBB-CP = 3 divergent forks; brain_core SHADOW matched=0/4167","A02#R-003; A01","T0","MEDIUM","A09"
C-03,"Mutual veto enforced 50/50","OCTOPUS_WIRE_DUAL_VETO flag OFF; verdicts arrive as parameters; no live veto consumer tonight","A02#F-15/F-16/F-18","T0+T2","MEDIUM","A09"
C-04,"Actions are propose-only","Legs label propose_only (reporting-only); BUT AUTONOMY_FREE/GRANT/CODE_AUTOAPPLY_LOWRISK/LEAD_OUTBOUND armed; lead-email lane executes after owner vote outside gate","A02#R-007/F-12; A03#BP-05","T2","MEDIUM","A05/A10"
C-05,"A2 bounded automatic / A4 owner-approved","A0-A6 ladder: A2 BLOCK (VQ-SELFGOAL-002), A4/A5 BLOCK (no executor function), A6 REJECT; only A0/A1 executable, A1 dry_run default","A02#R-009; A03","T2","LOW(safer)","Owner governance"
C-06,"Ledger is bitemporal","All live ledgers unitemporal (single timestamp, hash-chained); bitemporal columns NOT_FOUND; gated_effect 0 rows","A02#R-006; A03 temporal audit","T0","LOW","A12"
C-07,"Policy Gate runtime-enforced (universal)","Live ADR-033 gate has 1-2 call sites; octopus_v3 P0ExecutionGate WIRED=False; 4d policy ladder documentary-only","A02#R-010; A04#F-006..F-010","T2","MEDIUM","A05"
C-08,"Viability Loop runtime-enforced","Zero code matches for 'viability'; nearest is allostatic heart/ (control_law, pulse_arbiter, work_pump)","A01","T2","MEDIUM","A06"
C-09,"Sensorium ACTIVE","No module named Sensorium in code; software sensors exist (USGS/DDG/Wikipedia/tenders) behind flags","A01; A02","T2","LOW","A10"
C-10,"Legs unauthorized (hardware)","'Legs' = business ventures (lead/ziman/mining/crypto/cartographer); no hardware/actuator paths; actuator HANDLERS={}","A02#R-008","T0","INFO","A10"
C-11,"identity_health = 0.572","Live 0.542, recomputed per math-control spine beat","A02#R-005","T0","LOW","A07"
C-12,"panel_8790 dashboard live","No 8790 listener (nor 8770); channel-status snapshot stale","A02#R-013","T0","LOW","A08"
C-13,"Propose-only label implies enforcement","Label is hardcoded reporting dict in each leg beat; not a checked gate","A02#R-007","T2","MEDIUM","A05"
C-14,"FREEZE means owner/policy freeze","FREEZE.flag = budget-settle failure (Errno 22 budget-state.json) since 20:09:05; fault, not policy","A01 rider; A02#R-015","T0","MEDIUM","Owner+Windows fix"
C-15,"'live and healthy' runtime narrative","Budget settle failing; policy-gate events stale since 08-13; event bus sparse (45-min silent); brain_core parity never matched","A02#F-23; A01; A03","T0","LOW","A08"
