claim_id,claim,status,code_path,test_path,evidence_path,command,commit_sha,owner_gate,notes
C-001,"320 tests are currently green",STALE,"_ops/tests/run_all.py",,"01-TRUTH/TEST-COUNT.md","python AST registry probe; targeted baseline commands in receipts",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"Historical 2026-08-15 claim; current registry has 820 suites and only bounded subsets were executed. Envelope: node 180/asserted IP/vantage this host/scope this_host_only."
C-002,"27/27 independent verifier passes",CONTRADICTED,,,"07 - Knowledge/OCTOPUS-TRUTH-2026-08-15/14-FINAL-STATUS.md","git ls-files '*verify_live_store.py'",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"27/27 denotes checks in one dated live-store/hash-chain verifier, not 27 independent verifier identities; that verifier is absent from HEAD."
C-003,"zero CRITICAL",STALE,,,"07 - Knowledge/OCTOPUS-TRUTH-2026-08-15/14-FINAL-STATUS.md","git ls-files '*verify_live_store.py'",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"Scoped historical verifier result; no current verifier output."
C-004,"77 of a 200-item checklist complete",NOT_FOUND,,,,"rg bounded claim searches",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"No matching checklist/count found in searched current paths; NOT_FOUND is scope-bounded."
C-005,"observation.v1 has not been built",CONTRADICTED,"_ops/observatory/observation_record.py; _ops/observatory/observation_v1.py","_ops/tests/test_observation_v1_foundation.py","docs/octopus-surgery/receipts/SURGERY-OBSERVATION-V1-FOUNDATION-20260830T081900Z.json","python -X utf8 _ops/tests/test_observation_v1_foundation.py",aa2b816946a4f4caee662ebcc8a307743061e567,no,"Record contract now exists (15/15). USGS/HN parser remains a separate partial family. No real sensor is connected."
C-006,"run_observatory.py exists now",NOT_FOUND,,,"07 - Knowledge/OCTOPUS-TRUTH-2026-08-15/15-BAYESIAN-STRATEGY.md","git ls-files '*run_observatory.py'",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"Historical/external working-repo references exist; no tracked current file."
C-007,"OCTOPUS strategy is currently copied from persistence",STALE,,,"07 - Knowledge/OCTOPUS-TRUTH-2026-08-15/17-SYNC-DECISIONS.md","git ls-files '*run_observatory.py' '*bayesian_strategy.py'",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"Historical coupling is documented; a later dated snapshot reports 0.99 versus persistence 0.80, while current producer code is absent."
C-008,"current OCTOPUS score equals 0.80",STALE,,,"07 - Knowledge/OCTOPUS-TRUTH-2026-08-15/05-LIVE-RUN.md","current-file inventory plus historical-document read",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,no,"0.80 was a dated persistence value; a later snapshot reports OCTOPUS 0.99. No current strategy, sample or Brier receipt exists."
C-009,"owner signing gate remains closed",VERIFIED,,,"07 - Knowledge/شناخت-اختاپوس/47-DESKTOP-LAB-D1-D8-GOVERNANCE-2026-08-15.md","read tracked governance artifact",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,owner_only,"Tracked current truth states OWNER_KEY_CREATED=false and OWNER_SIGNATURE_CREATED=false; private material was not accessed."
C-010,"all secret rotation is blocked",PARTIAL,,,"PRE-0/ROTATION_CHECKLIST.md; 03 - Projects/OFN-Board","read status-only artifacts; do not set OFN_KEEP_GATES_OPEN",2a718aaa96235fcf5aa5219d25eba4a9b314eed5,owner_only,"Vault CRITICAL rotation gate is marked lifted with fourteen lower-severity items open; OFN-Board has a separate dated secret_rotation release gate that defaults closed. It is not an _ops core gate."
