path_id,untrusted_source,hops,terminal_sink,deterministic_validation_before_execution,can_reach_consequential_execution,classification,evidence,status
UI-01,Public web text (world_discovery),"web text → discovery artifact → translation layer → action-request.v1 intent field","classifier.classify: text can only ESCALATE class (rule 3); structural fields decide; unknown action_type=>A6",yes,A4/A5/A6 have no executor function (executor.py:35 EXECUTABLE={A0,A1}); A2 BLOCK per VQ-SELFGOAL-002,no,PROMPT_INJECTION_CONTAINED,"_ops/action_bridge/classifier.py:10-14,96-189; executor.py:35",VERIFIED_CODE_ONLY
UI-02,LLM reply (telegram ask_brain),"LLM → card text → Telegram message","display-only; system prompt forbids action claims; no code path from reply to execution",yes,no,reply never parsed as command,no,"_ops/telegram_center/ask_brain.py:236-246,479",VERIFIED_CODE_ONLY
UI-03,LLM structured intent (llm_intent.understand),"text → LLM JSON {intent,action,risk,needs_mission} → mission card","autonomy_matrix.is_important only RAISES risk; missions are cards; execution needs separate owner approval; flag OCTOPUS_TG_LLM_ASK",yes,no (proposal only),LLM proposes owner disposes,no,"_ops/telegram_center/llm_intent.py:77,133; center.py:3772-3786",VERIFIED_CODE_ONLY
UI-04,Memory text (MemoryStore recall),"store → retrieval_router.route → mission context","memory can only VETO; plan byte-identical with/without retrieval; router error = fail-soft continue",yes,veto closes never opens; no memory text enters executor args,no,"_ops/goal_action_bridge.py:262-276,395-399,432-445",VERIFIED_LIVE
UI-05,Memory/vault text (4d RAG),"ChromaDB/experiments → LangGraph prompts → LLM","influence epistemic only; 4d actuators limited to outputs/ writes (guardrails.assert_safe_write) and read/compute tools",yes,no execution path from 4d brain besides sandboxed writes,no,"4d_system/brain/nodes.py:41-90; graph.py:214-221; tools.py:178-184; guardrails.py:326-351",VERIFIED_CODE_ONLY
UI-06,LLM-generated hypothesis (4d generate_hypothesis),"LLM reply → save_hypothesis (ungated) → future prompts","NO admission gate on 4d store (BP-08); dedupe-only on read",no for persistence (yes for execution: cannot act),poisoning of future research prompts; cannot authorize anything,POISONING_VECTOR_MEDIUM,no,"4d_system/brain/tools.py:118-156",VERIFIED_CODE_ONLY
UI-07,Telegram callback data (buttons),"callback_data string → ap:action:jid:token → approve/reject","HMAC token binds jid+action+owner+hash+expiry (compare_digest); single-use _move; clock expiry; chat binding",yes,approval is the authority — but token-gated + owner-only chat,no,"_ops/telegram_center/callback_token.py:60-69; center.py:4748-4847",VERIFIED_CODE_ONLY
UI-08,Owner free text (telegram_center),"/commands + free text → keyword intent → handlers","command allow-list dict; danger field gates; high-risk double-confirm (pw/pwc); /sh exception see BP-01",mostly (exception /sh),/sh = authenticated owner shell — owner is trusted principal not untrusted input,OWNER_CONSOLE_RISK,no,"_ops/telegram_center/center.py:3024-3231,3213; actions.py:101-117",VERIFIED_CODE_ONLY
UI-09,LLM-drafted lead email body,"LLM/composer draft → outbound email content","GAP-2: quoted amount must equal recorded breakdown.total_incl_gst (no re-compute); consent_gate may_draft; per-effect owner authorization; daily cap; staleness gate",yes,sending requires owner-authorized effect_id (allowlist default empty),no,"_ops/legs/outbound_worker.py:20-30; lead_effect_gate.py:15,95",VERIFIED_CODE_ONLY
UI-10,LLM self-code proposal (4d self_code),"LLM code edit → proposal → sandbox test → static rescan → owner approve → apply","full gate stack at apply time: TCB allowlist + stale check + static rescan + sandbox execution + tamper detection + owner approval + backup",yes,apply only after owner approval + green tests,no,"4d_system/brain/self_code.py:403-443; guardrails.py:274-299",VERIFIED_CODE_ONLY
UI-11,Sensor payload (afferent observations),"telemetry snapshot → abstract labels → sensory_bus → school_bridge","labels are synthetic aggregates generated in-process (no external raw data); PII regex reject; propose-only",yes,advisory only; no execution lane,no,"_ops/wiring.py:2675-2705; afferent/sensory_bus.py:55-81",VERIFIED_CODE_ONLY
UI-12,Tool results (4d LangChain tools),"tool output → agent graph state → next LLM turn","tool set is read/compute-only (ALL_TOOLS); outputs feed prompts not actuators",yes,no executor consumes tool output as command,no,"4d_system/brain/tools.py:178-184",VERIFIED_CODE_ONLY
