concept,files_present,implementation_present,tests_present,runtime_active,hardware_available,external_dependency,status,evidence
"Event Kernel","true","true","true","true","n/a","none","LIVE","[LOCAL-LIVE] /opt/octopus/lab/ofn/organism/event_kernel/kernel.py:6-104; SQLite events=319"
"SQLite Event Store","true","true","true","true","true","none","LIVE","[RUNTIME-VERIFIED] /opt/octopus/lab/lab-data/organism.db; integrity_check=ok; WAL"
"Outbox","true","true","true","true","n/a","none","LIVE","[LOCAL-LIVE] event_kernel/kernel.py:49-69,81-104; outbox done=319 pending=0"
"Identity Ledger","true","true","true","true","n/a","optional external anchor","LIVE_WITH_GAP","[RUNTIME-VERIFIED] identity_ledger=195; chain valid; external_anchor=false"
"Episodic Memory","true","true","true","true","n/a","none","LIVE","[LOCAL-LIVE] memory/episodic.py:5-80; episodes=319; orphan/type mismatch=0"
"Mandatory Retrieval","true","true","true","partial","n/a","none","LIVE_WITH_GAP","[LOCAL-CODE] life_cycle.py:57-69,72-105; memory_reads_per_cycle absent"
"Homeostasis","true","true","true","true","true","kernel procfs/sysfs","LIVE","[LOCAL-LIVE] homeostasis/core.py:17-119; public health STABLE"
"Afferent","true","true","true","true","true","LAN allowlist and optional Telegram","LIVE","[LOCAL-LIVE] service octopus-afferent-lab active; runtime/afferent.py:86-205"
"Soak","true","true","true","true","true","local services","LIVE","[LOCAL-LIVE] SOAK-RESULTS.json running=true abort=null samples=202"
"Qwen Cortex","true","true","true","true","CPU/RAM","llama.cpp model","LIVE","[RUNTIME-VERIFIED] public local_cortex=AVAILABLE; cognition/backend.py:50-137"
"llama.cpp","true","true","true","true","CPU/RAM","Qwen GGUF","LIVE","[RUNTIME-VERIFIED] octopus-llama-lab active; loopback 8081"
"WAN Learning","true","true","true","partial","true","allowlisted external teacher","LIVE_WITH_GAP","[LOCAL-LIVE] external_api=LEARN_ONLY_DEEPSEEK; learned_topics provenance rows=4; no mission call"
"Vault","true","true","true","true","n/a","none","LIVE","[LOCAL-LIVE] /opt/octopus/lab/vault/board-life-001; life_cycle.py:385-409"
"Attestation","true","true","true","true","n/a","external anchor absent","LIVE_WITH_GAP","[LOCAL-LIVE] state/ATTESTATION.json; local hash only; not public PKI"
"OFN-L4","true","true","false","false","true","daemon bridge tests and owner gate","SCAFFOLD","[LOCAL-SCAFFOLD] /opt/octopus/ofn-l4 exactly 10 files; no var DB unit or 8091 listener"
"WBE Scaling","true","true","true","false","n/a","telemetry calibration","OFFLINE_TESTED","[LOCAL-OFFLINE-LAB] proto-organism/scaling.py; README records 22/22 lab tests"
"Active Inference","true","false","false","false","CPU sufficient conceptually","pymdp missing","DOCUMENT_ONLY","[DOCUMENTED] ofn-l4/docs/SCALE-AND-ACTIVE-INFERENCE.md:148-234; no live policy loop"
"Engineering Delta Theta","true","true","false","false","n/a","scheduler and writers","IMPLEMENTED_DISCONNECTED","[LOCAL-CODE] ofn-l4/ofnl4/theta.py:7-48; theta_ticks writer absent"
"vLLM Client","false","false","false","false","false","GPU-host vLLM","UNKNOWN","[UNKNOWN] no vllm_client.py; only offline metrics/planning adapters exist"
"Prefix Caching","true","true","true","false","CPU for hash-only test","vLLM runtime for live APC","OFFLINE_TESTED","[LOCAL-OFFLINE-LAB] adapters/vllm_prefix_cache.py; sha256 artifact status OK"
"Cache Salt","true","true","true","false","n/a","tenant secret management on GPU host","OFFLINE_TESTED","[LOCAL-OFFLINE-LAB] overlap without salt=1.0 with salt=0.0 in prefix-cache artifact"
"Block Size Tuner","true","true","true","false","false","same-version vLLM and compatible GPU","OFFLINE_TESTED","[LOCAL-OFFLINE-LAB] benchmarks/vllm_block_size.py; 51 harness tests passed"
"Hybrid KV Cache","true","false","false","false","false","actual hybrid model and GPU host","DOCUMENT_ONLY","[DOCUMENTED] SCALE-AND-ACTIVE-INFERENCE.md:299-317; preflight fields null"
"Mamba Cache","true","false","false","false","false","actual Mamba model and same-version vLLM","DOCUMENT_ONLY","[DOCUMENTED] preflight mamba_ssm_groups=null; no mamba implementation file"
"GPU Benchmark","true","false","false","false","false","CUDA or ROCm host","BLOCKED_NO_GPU","[BLOCKED] vllm-block-size/pareto-report.md:3-14; empirical rows=0"
"Owner Approval Gate","true","true","true","false","n/a","explicit owner reference thermal limit metrics","OFFLINE_TESTED","[LOCAL-CODE] vllm_block_size.py:498-529; gate tests included in 51"
"Mission Footer","true","false","false","false","n/a","none","DOCUMENT_ONLY","[DOCUMENTED] mandatory footer: 00_OWNER_ANSWER_FA.md#پاورقی-ماموریت"
