rank,defect,evidence_refs,severity,class,recommended_action
1,"Organism frozen by budget-settle fault: FREEZE.flag since 20:09:05 'settle failed for ARCHITECT_SYS: [Errno 22] Invalid argument: budget-state.json'; all budget grants fail-closed; month spend AU$0.74","A01 rider; A02#R-015","HIGH","operational-fault","Owner/Windows: repair budget-state.json settle (file-handle bug); re-run settle; confirm freeze clears"
2,"Raw shell armed (owner /sh) with regex deny-list bypassable via python -c/base64/shutil/urllib; 0 executions so far","A04#F-001..F-004; A03#BP-01","HIGH","authority-boundary","OD-B: keep owner-only but replace deny-list with allowlist+canary; log every execution with intent hash"
3,"Central authority gates unwired while narrative claims enforcement: P0ExecutionGate WIRED=False; containment/G8 consumerless; PolicyGate 1-2 call sites","A04#F-006..F-010; A02#R-010","HIGH","governance-gap","OD-A: wire-or-retire; shadow-mode INTENT ledger first (wave 2)"
4,"Secrets concentration at vault root: .env (3 TG tokens, gmail app pw, provider keys) + stale .env.bak-20260810 plaintext","A04#F-014; A02#R-016","MEDIUM","secrets","Purge .env.bak; rotate any token that ever lived in it; confirm .env gitignored (verified untracked)"
5,"Context fence partial: web_research + vault RAG lanes unfenced (DATA_NOT_INSTRUCTION not applied); primary prompt-injection vector","A04#F-009/F-010","MEDIUM","injection-boundary","OD-D + wire fence at every prompt assembly point; fuzz with A14"
6,"Public tunnel app.master-painting.com -> 8774 (HMAC owner wall OK) and board_cp 0.0.0.0:8801 TLS+Bearer default bind","A02#R-014; A04#F-028","MEDIUM","attack-surface","Constrain board_cp bind default; document tunnel as owner-surface; rate-limit auth attempts"
7,"15/15 ACTIVATION flags armed incl RAW-SHELL, CODE-AUTONOMY, SELF-IMPROVE-AUTO, REPLICATION, GO-LIVE; autonomy grants (AUTONOMY_FREE/GRANT/CODE_AUTOAPPLY_LOWRISK/LEAD_OUTBOUND)","A04#F-017; A02#F-12","MEDIUM","posture","Flag-hygiene review: disarm all not explicitly needed this season; add boot-hash assertion"
8,"Lead-email lane executes outside action_bridge (owner per-effect vote, but env-removable capability)","A03#BP-05","MEDIUM","bypass-path","Bring lane under unified gate or assert same receipt contract"
9,"Ungated LLM write into 4d research memory (poisoning vector, no execution authority)","A03#BP-08","MEDIUM","memory-integrity","MemoryGate for 4d lane; provenance fields"
10,"Scheduled task executes from Desktop outside the repo (untracked code path in production loop)","A02#F-02","MEDIUM","supply-chain","Move into repo or pin hash+manifest"
11,"No boot-hash recorded; runtime may execute pre-edit code vs HEAD 028fe81","A02#F-23","MEDIUM","reproducibility","Record boot hash in state; fail if mismatch at startup"
12,"Bitemporal claim unsupported: all live ledgers unitemporal; gated_effect table 0 rows while proposals report effected=42","A02#R-006/R-019; A03 temporal audit","LOW","ledger","A12: implement bitemporal contract; reconcile effected counter vs gate schema"
13,"NBB-CP exists as 3 divergent forks (vault/4d_system/Desktop working repo) with different code","A01","LOW","fragmentation","Owner: name one SoT; archive others"
14,"Repo-in-repo: 07 - Knowledge/genome-system is nested git also tracked by root","A01","LOW","repo-hygiene","Decide ownership; un-nest or gitignore"
15,"Stale lore inside live code: app.py:8768 lock w/o app.py; 4d_system/start.bat dead Desktop path","A01","LOW","docs-drift","Delete or fix"
16,"Docs claim identity_health 0.572 / panel 8790 / L0-L8 — all stale vs live (0.542; no listener; 7-layer scheme)","A02#R-005/R-013; A01","LOW","docs-drift","Regenerate from state; add freshness headers"
17,"math-control uses local-time-with-Z + no time.monotonic (clock-skew window for evidence timestamps)","A02#F-24","LOW","time","Use monotonic for durations; UTC with explicit tz for evidence"
18,"brain_core SHADOW soak produces 0 matched / 4167 missing-old samples over 348,826 s — parity comparison is vacuous","A02#R-017","LOW","observability","Fix old-side producer or report N/A"
19,"Policy-gate events stale since 08-13; event bus sparse (45-min silent) — observability gaps for gate decisions","A02 (F-15); A03","LOW","observability","A08 trace model; heartbeat for gate consumers"
20,"Arbiter effective_period_s 124.7 vs observed beat cadence ~65-128s mismatch + frozen/active terminology hazards (frozen=true while ticking)","A02#R-015; heartbeat transcript","LOW","naming","Single glossary + runtime labels; fix period field semantics"
