id,domain,finding,evidence_path,evidence_timestamp,classification,criticality,producer,consumer,gate,safe_next_action,owner_decision_needed
DRS-01,runtime,۵ پروسهٔ python لپ‌تاپ پورت‌های 8771-8777 را دارند,Get-NetTCPConnection,2026-09-03T07:22Z,VERIFIED_RUNTIME,P2,_ops/organism.py و…,داشبورد/گلاس,none,ثبت CWD هر پروسه در next scan,no
DRS-02,runtime,pid19176 (8774) همان ORPHANِ ثبت‌شدهٔ watchdog است و هنوز زنده‌است,state/orphan-watchdog/receipts.jsonl,2026-09-03,VERIFIED_RUNTIME,P2,miniapp_gateway.py,none,none,زنجیرهٔ alert به مالک,yes(نگه‌داری/kill)
DRS-03,runtime,سه‌تای پنج پروسه با مسیر نسبی اجرا می‌شوند (وابسته به CWD),Win32_Process CommandLine,2026-09-03T07:2xZ,GIT_UNTRACKED_RUNTIME,P2,_ops,–,none,next scan: CWD capture,no
DRS-04,nodes,10 تایمر octopus روی 138 فعال و تازه‌fire,systemctl list-timers,2026-09-03T07:25Z,VERIFIED_RUNTIME,P1,systemd,ارگانیسم 138,none,–,no
DRS-05,nodes,NTP 138 سینک است (دیروز خاموش بود),timedatectl,2026-09-03T07:23Z,VERIFIED_RUNTIME,P1,timesyncd,–,none,ثبت heal در سند census,no
DRS-06,mesh,138 outbox=0/inbox=0/state=15 (درین کار می‌کند),find ~/octopus-mesh,2026-09-03T07:2xZ,VERIFIED_RUNTIME,P0,octopus-mesh-drain,182/180,none,۱۵ retry بررسی شود,no
DRS-07,nodes,journal 138 برای ari نامرئی (بدون گروه systemd-journal),journalctl hint,2026-09-03T07:2xZ,UNVERIFIED,P2,journald,اپراتور,perm,افزودن به گروه یا فایل-رسید,no
DRS-08,nodes,138 روی main@60dce961 با dirty=5,ssh git status,2026-09-03T07:2xZ,GIT_UNTRACKED_RUNTIME,P1,–,–,none,diff و تصمیم کامیت,yes
DRS-09,nodes,138 بدون پورت‌های 8090/8081/4222,ss -tlnp,2026-09-03T07:2xZ,VERIFIED_RUNTIME,P2,–,–,none,–,no
DRS-10,nodes,182/180 از لپ‌تاپ ssh نمیشود (بی‌کلید),ssh Permission denied,2026-09-03T07:2xZ,UNVERIFIED,P1,–,–,none,کلید فقط-خواندنی یا اسکن از 138,yes(توزیع کلید)
DRS-11,git,checkout لپ‌تاپ fix/demand-harvest@34e63a0 dirty=33,git status,2026-09-03,VERIFIED_REPOSITORY,P2,–,–,none,تصمیم همگرایی,yes
DRS-12,git,والتن F:\backup روی rescue@8d8be71 با dirty=400,git status,2026-09-03,VERIFIED_REPOSITORY,P0,–,–,none,census+commit انتخابی,yes
DRS-13,github,main=6e2bfd50 (repair_api #150 مرج),gh api commits/main,2026-09-03T07:5xZ,VERIFIED_REPOSITORY,P1,PR#150,–,protection,–,no
DRS-14,github,۶ PR kernel-pure MERGEABLE (#125/126/127/134/135/136),gh pr list,2026-09-03T07:5xZ,VERIFIED_REPOSITORY,P1,–,–,human review,بستهٔ ریویو الهه,yes(merge)
DRS-15,github,#113 PARKED · #71 CONFLICTING,gh pr list,2026-09-03T07:5xZ,BLOCKED_BY_POLICY,P2,–,–,owner/policy,تصمیم,yes
DRS-16,policy,WAL خروجی disarm می‌ماند (رأی مالک؛ خواندن امشب مبهم),owner ruling 09-02,2026-09-02,BLOCKED_BY_POLICY,P0,–,–,WAL,خواندن مسیر درست فقط-خواندنی,no
DRS-17,business,sqlite 138: outbox=111/ledger=210/painting_quotes=1,sqlite -readonly,2026-09-03T07:2xZ,VERIFIED_RUNTIME,P0,outbox/ledger,agents,consent+policy,–,no
DRS-18,business,DET needs_reply هنوز بی‌پاسخ (فیلدهای فقط-مالک),painting_interactions + DRAFT doc,2026-09-02→03,VERIFIED_RUNTIME,P0,imap,مالک,send-authorization,پر کردن جای‌خالی‌ها,yes
DRS-19,business,payment-receipts خالی → VERIFIED_PAYMENT_COUNT=0,payment-receipts/,2026-09-03,VERIFIED_REPOSITORY,P0,–,learning ledger,receipt-contract,اولین رسید مالک,yes
DRS-20,learning,لجر اقتصادی ۱۶ ردیف/۰ orphan ولی فیدر ندارد,economic-learning-ledger.jsonl,2026-09-03,VERIFIED_REPOSITORY,P2,learning loop,–,none,فیدر رویداد,no
DRS-21,doctor,دو دکتر موازی (میراثی 1500L در _ops + ofn/doctor) بدون interlock,_ops/doctor/doctor.py + ofn/doctor,2026-09-03,IMPLEMENTED_NOT_WIRED,P0,هر دو,متفاوت,none,طرح هم‌گرایی,yes
DRS-22,contracts,BB-×9 فقط در دوقلوی منجمد,find BB-*.yaml,2026-09-03,DOC_ONLY,P2,–,–,none,بازگردانی یا برچسب,yes
DRS-23,contracts,F:\backup\mesh فایل ۰ بایت,ls -la,2026-09-03,CONTRADICTED,P2,–,–,none,حذف-آرشیو یا تبدیل به پوشه,yes
