port,bind,pid,process,role,exposure,classification,notes
8771,127.0.0.1,29028,python.exe (organism.py),organism status HTTP,loopback only,OCTOPUS,live status page; readiness via ORGANISM-STATE.json per beat
8777,127.0.0.1,29028,python.exe (organism.py),lead-boundary HTTP (Trust-Engine ingress),loopback only,OCTOPUS,started at boot 12:52:30 per HEARTBEAT.md
8772,127.0.0.1,11144,python.exe (cortex\cortex.py),central controller brain service,loopback only,OCTOPUS,watchdog-checked every 5 min (cortex-watchdog.json alive)
8773,127.0.0.1,7852,python.exe (live\server.py),live cockpit,loopback only,OCTOPUS,started by live-watchdog schtask
8774,127.0.0.1,19076,python.exe (miniapp_gateway.py),Telegram miniapp gateway,PUBLIC via cloudflared named tunnel https://app.master-painting.com,OCTOPUS,tunnel PID 17332; URL file state/telegram/miniapp-url.json
8776,127.0.0.1,11724,python.exe (telegram_center\center.py),telegram command center (9 leg topics),loopback only,OCTOPUS,long-poll T-8; pulse/tg-center.json fresh 23:54:49
8801,0.0.0.0,23464,python.exe (board_cp\server.py),board TLS pull/ack endpoint,LAN-exposed (TLS self-signed + Bearer; only /api/board-cp/pull + /ack; fail-closed 503),OCTOPUS,commands.sqlite last activity 19:05
11434,127.0.0.1,20192,ollama.exe,ollama serve API,loopback only,OCTOPUS-adjacent,local model backend
1495,127.0.0.1,9796,llama-server.exe,local LLM inference (--offline),loopback only,OCTOPUS-adjacent,started 23:41:29; ctx 4096
20241,127.0.0.1,17332,cloudflared.exe,tunnel local metrics,loopback only,OCTOPUS,named tunnel octopus-miniapp
3653,0.0.0.0,13644,fingagent.exe,Fing network agent,wildcard bind,THIRD-PARTY,not OCTOPUS
48080,127.0.0.1,13644,fingagent.exe,Fing network agent HTTP,loopback,THIRD-PARTY,not OCTOPUS
2020;2021;2022,127.0.0.1,3928;5076;5112,ExpressVPN services,VPN IPC,loopback,THIRD-PARTY,not OCTOPUS
4501;4507;4508;8222,127.0.0.1,11328;21168,Cursor.exe / ssh.exe,editor remote/port-forward,loopback,THIRD-PARTY,not OCTOPUS
n/a (file bus),n/a,n/a,organism+cortex in-process,unified_bus + events.jsonl event stream,filesystem,OCTOPUS,no broker process; last event 23:11:07
n/a (queue dirs),n/a,n/a,file-based,_octopus/queue/{pending,approved,done,rejected},filesystem,OCTOPUS-legacy,queue dirs empty at snapshot
